"metabolite","pval","adj_pval","dm"
"100000787",0.00216450216450216,0.016935990218433,0.787779600333333
"100001162",0.00432900432900433,0.0323885360381711,0.887986008833333
"100001501",0.00432900432900429,0.0323885360381711,-0.559250630333333
"100002568",0.00645328520982669,0.0475871751084344,-1.60586706266667
"100015863",0.00282269848646288,0.0219186814289731,-0.8961941065
"1053",0.00432900432900433,0.0323885360381711,0.722945154833333
"240",0.00216450216450216,0.016935990218433,1.5020448895
"999917335",0.00108225108225102,0.00880402666116899,-0.758833043833333
"999924669",0.00645328520982672,0.0475871751084344,2.0842114435
"999924674",0.00108225108225102,0.00880402666116899,-1.21012071966667
"999924675",0.0015008516735916,0.0121131729561527,-1.52374665983333
